Ticker,Company_Name,Currency,Data_Date,Industry,Sector,Country,Total_ESG_Score,Environmental_Score,Social_Score,Governance_Score,ESG_Performance,Highest_Controversy,Stock_Price,Current_Price,Market_Cap,PE_Ratio,PB_Ratio,Annual_Return_Pct,Revenue,Net_Income,Operating_Margin_Pct,Gross_Margin_Pct,ROE_Pct,ROA_Pct,Profit_Margin_Pct,EBITDA_Margin_Pct,EPS,Beta,Debt_to_Equity,Current_Ratio,Operating_Cash_Flow,Revenue_Growth_Pct,Status
SIGN.SW,SIG Group AG,CHF,12/31/24,Packaging & Containers,Consumer Cyclical,Switzerland,10.84,9.06,0.64,1.13,LAG_PERF,1,17.34,8.505,3250880768,17.36,1.16,-54.59,3333799936,200600000,11.69,24.61,6.93,3.4,6.02,22.56,0.49,0.753,96.12,0.87,559100032,3.04,Success
FREN.SW,Fundamenta Real Estate AG,CHF,12/31/24,Real Estate Services,Real Estate,Switzerland,,,,,,,16.43,17.7,532112160,11.35,1.02,10.25,42137000,47143000,71.23,86.04,9.27,1.53,111.88,,1.56,0.161,122.89,0.29,18609000,2.04,Success
MOVE.SW,Medacta Group SA,CHF,12/31/24,Medical Devices,Healthcare,Switzerland,29.11,,,,AVG_PERF,0,113.04,146.6,2923865856,33.09,6.89,24.33,646070976,94933000,17.61,67.61,24.7,8.48,14.69,25.02,4.43,1.083,60.02,2.39,138252000,15.62,Success
ALC.SW,Alcon Inc.,CHF,12/31/24,Medical Instruments & Supplies,Healthcare,Switzerland,16.54,3.25,8.91,4.38,LAG_PERF,1,76.11,59.44,29387134976,34.36,1.33,-26.88,10024999936,1073000000,11.17,55.56,4.98,2.64,10.7,23.36,1.73,0.693,23.77,2.6,2095000064,4.82,Success
SRAIL.SW,Stadler Rail AG,CHF,12/31/24,Railroads,Industrials,Switzerland,29.66,,,,AVG_PERF,1,20.11,19.48,1947978240,62.84,2.7,-23.22,3364401920,31542000,2.63,11.29,7.62,1.26,0.94,5.53,0.31,0.646,120.47,1.03,-4372000,-9.78,Success
SWON.SW,SoftwareOne Holding AG,CHF,12/31/24,Software - Application,Technology,Switzerland,17.89,,,,LAG_PERF,0,5.88,7.835,1681971328,,2.34,-39.53,972796032,-19612000,9.21,31.21,-3.41,0.54,-2.02,5.34,-0.13,1.354,5.96,0.95,417048992,0.41,Success
NREN.SW,Novavest Real Estate AG,CHF,12/31/24,Real Estate - Diversified,Real Estate,Switzerland,,,,,,,33.92,38.1,387511840,12.49,0.91,14.2,42931560,30084752,66.8,84.17,7.21,1.74,70.08,116.37,3.05,0.045,124.26,0.1,14092132,20.9,Success
"VZUG.SW,V-ZUG Holding AG,CHF,12/31/24,""Furnishings, Fixtures & Appliances"",Consumer Cyclical,Switzerland,,,,,,,50.24,46.3,297642848,20.86,0.61,-15.09,578812992,14264000,1.12,35.59,2.99,1.97,2.46,8.89,2.22,0.683,,1.73,46447000,1.07,Success"
PPGN.SW,PolyPeptide Group AG,CHF,12/31/24,Drug Manufacturers - Specialty & Generic,Healthcare,Switzerland,25.71,,,,AVG_PERF,1,28.6,23.25,767051200,,2.32,-19.33,368844992,-34717000,-8.21,11.26,-10.05,-0.62,-9.41,5.38,-0.97,1.114,33.63,1.62,138584000,4.29,Success
AERO.SW,Montana Aerospace AG,CHF,12/31/24,Aerospace & Defense,Industrials,Switzerland,28.93,,,,AVG_PERF,0,14.86,25.05,1561225472,73.68,1.68,60.17,1648445952,23495000,6.69,41.41,2.55,3.68,3.62,11.95,0.34,2.164,30.74,1.99,160923008,17.58,Success
CHAM.SW,Cham Swiss Properties AG,CHF,12/31/24,Real Estate - Development,Real Estate,Switzerland,,,,,,,21.21,23.4,1111003008,,1.09,17.97,13428000,225575008,-830.36,0,,,1679.89,-518.75,-0.12,,46.26,0.11,29889000,9.43,Success
MEDX.SW,medmix AG,CHF,12/31/24,Specialty Industrial Machinery,Industrials,Switzerland,,,,,,,9.74,9.1,371456416,,0.88,-8.83,468100000,-5800000,7.41,34.52,-1.13,1.38,-1.24,13.63,-0.14,0.913,74.47,1.57,88400000,-0.55,Success
SKAN.SW,SKAN Group AG,CHF,12/31/24,Medical Instruments & Supplies,Healthcare,Switzerland,29.43,,,,AVG_PERF,0,76.95,52.3,1175888256,72.64,6.64,-34.49,332134016,16176000,-3.65,72.71,9.85,4.15,4.87,10.26,0.72,1.075,5.46,1.15,68582000,12.9,Success
XLS.SW,Xlife Sciences AG,CHF,12/31/24,Biotechnology,Healthcare,Switzerland,,,,,,,26,20.4,117658464,5,0.39,-23.72,839380,30753120,-2661.64,62.17,6.62,-2.33,3663.79,-412.36,4.08,0.271,15.08,1.08,-227177,-15.54,Success
EPIC.SW,EPIC Suisse AG,CHF,12/31/24,Real Estate Services,Real Estate,Switzerland,,,,,,,76.12,83,857396288,15.75,1.05,14.64,68470000,54403000,78.1,89.9,6.75,2.03,79.45,78.63,5.27,0.061,86.94,0.21,50650000,1.28,Success
ACLN.SW,Accelleron Industries AG,CHF,12/31/24,Specialty Industrial Machinery,Industrials,Switzerland,28.29,11.67,11.62,5,AVG_PERF,0,44.81,62.25,5845351936,37.28,17.01,35.42,1125026048,195111008,25.42,44.91,63.08,13.18,17.34,27.82,1.67,0.232,161.2,2.2,279529984,11.77,Success
SDZ.SW,Sandoz Group AG,CHF,12/31/24,Drug Manufacturers - Specialty & Generic,Healthcare,Switzerland,22.34,4.66,13.31,4.36,AVG_PERF,2,38.38,48,20673679360,114.29,2.35,32.39,10586999808,227000000,11.43,46.82,2.64,1.76,2.14,9.66,0.42,0.289,64.54,1.29,950000000,4.06,Success
GALD.SW,N/A,CHF,12/31/24,Drug Manufacturers - Specialty & Generic,Healthcare,Switzerland,19.8,3.84,11.03,4.92,LAG_PERF,1,106.76,135.6,31842115584,105.94,4.15,75.62,4689999872,378000000,15.86,69.21,4.92,3.65,8.06,20.98,1.28,,36.84,1.09,951000000,7.85,Success
SUNN.SW,SUNRISE N,CHF,12/31/24,N/A,N/A,N/A,,,,,,,40.22,46.14,3332461568,,0.82,641.7,,,,,,,,,,,,,,-0.57,Success
BIOV.SW,BIOVERSYS N,CHF,12/31/24,N/A,N/A,N/A,,,,,,,,25.1,146533456,,2.1,-2805.56,,,,,,,,,,,,,,,Success
AMRZ.SW,N/A,CHF,12/31/24,Building Materials,Basic Materials,Switzerland,,,,,,,,37.57,20779292672,19.47,1.67,-15.15,11596000256,1186000000,22.42,25.93,,,10.23,24.92,1.93,,57.69,1.38,1900000000,0.23,Success
